4K频道,#genre#
综艺频道,#genre#
視納華仁紀實頻道,https://phdown.serv00.net/litv.php?id=4gtv-4gtv013
中视菁采,https://phdown.serv00.net/litv.php?id=4gtv-4gtv064
八大精彩台,https://phdown.serv00.net/litv.php?id=4gtv-4gtv034
八大综艺台,https://phdown.serv00.net/litv.php?id=4gtv-4gtv039
TVBS精采台,https://phdown.serv00.net/litv.php?id=4gtv-4gtv067
TVBS欢乐台,https://phdown.serv00.net/litv.php?id=4gtv-4gtv068
靖天欢乐台,https://phdown.serv00.net/litv.php?id=4gtv-4gtv054
靖天综合台,https://phdown.serv00.net/litv.php?id=4gtv-4gtv046
靖天资讯台,https://phdown.serv00.net/litv.php?id=4gtv-4gtv065
靖天卡通台,https://phdown.serv00.net/litv.php?id=4gtv-4gtv044
靖天日本台,https://phdown.serv00.net/litv.php?id=4gtv-4gtv047
靖洋卡通台,https://phdown.serv00.net/litv.php?id=4gtv-4gtv057
靖天国际台,https://phdown.serv00.net/litv.php?id=4gtv-4gtv063
靖天映画,https://phdown.serv00.net/litv.php?id=4gtv-4gtv055
爱尔达娱乐,https://phdown.serv00.net/litv.php?id=4gtv-4gtv070
龙华卡通,https://phdown.serv00.net/litv.php?id=litv-longturn01
龙华日韩,https://phdown.serv00.net/litv.php?id=litv-longturn11
龙华偶像,https://phdown.serv00.net/litv.php?id=litv-longturn12
民视综艺,https://phdown.serv00.net/litv.php?id=4gtv-4gtv004
民视第一台,https://phdown.serv00.net/litv.php?id=4gtv-4gtv003
民视旅游,https://phdown.serv00.net/litv.php?id=litv-ftv07
亚洲旅游台,https://phdown.serv00.net/litv.php?id=litv-longturn17
客家电视台,https://phdown.serv00.net/litv.php?id=4gtv-4gtv043
爱放动漫,https://phdown.serv00.net/litv.php?id=litv-ftv15
古典音乐台,https://phdown.serv00.net/litv.php?id=4gtv-4gtv059
猪哥亮歌厅秀,https://phdown.serv00.net/litv.php?id=4gtv-4gtv006

其他频道,#genre#
Smart知识台,https://phdown.serv00.net/litv.php?id=litv-longturn19
达文西频道,https://phdown.serv00.net/litv.php?id=4gtv-4gtv018
阿里郎,https://phdown.serv00.net/litv.php?id=4gtv-4gtv079
生活英语台,https://phdown.serv00.net/litv.php?id=litv-longturn20
国际财经,https://phdown.serv00.net/litv.php?id=4gtv-4gtv104
美国之音,https://phdown.serv00.net/litv.php?id=litv-ftv03
好消息,https://phdown.serv00.net/litv.php?id=litv-ftv16
好消息2台,https://phdown.serv00.net/litv.php?id=litv-ftv17
非凡商业,https://phdown.serv00.net/litv.php?id=4gtv-4gtv048
国会频道1,https://phdown.serv00.net/litv.php?id=4gtv-4gtv084
国会频道2,https://phdown.serv00.net/litv.php?id=4gtv-4gtv085
TRACE URBAN,https://phdown.serv00.net/litv.php?id=4gtv-4gtv082
MEZZO LIVE,https://phdown.serv00.net/litv.php?id=4gtv-4gtv083
GLOBETROTTER,https://phdown.serv00.net/litv.php?id=4gtv-4gtv016
GinxTV,https://phdown.serv00.net/litv.php?id=4gtv-4gtv053
YouTube新闻,#genre#
三立iNEWS,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV01.m3u8
寰宇新聞台,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8  
東森財經新聞,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8  
momo購物一台,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV04.m3u8  
momo購物二台,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV05.m3u8  
運通財經台,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV06.m3u8  
信大電視台,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV07.m3u8  
DW News,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV08.m3u8  
中視新聞,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8  
Malaimurasu Tv 24X7,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV10.m3u8  
Asianet News,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV11.m3u8  
華視戲劇頻道,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV12.m3u8  
中天亞洲台,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV13.m3u8  
Al Jazeera Arabic,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV14.m3u8  
JapaNews24,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV15.m3u8  
THE K-POP,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV16.m3u8  
民視新聞,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8  
東森購物台CH60,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV18.m3u8  
東森購物台CH46,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV19.m3u8  
LIVE NOW,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV20.m3u8  
Haberturk TV,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV21.m3u8  
鳳凰衛視資訊台,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV22.m3u8  
新唐人LIVE,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV23.m3u8  
ABC News,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV24.m3u8  
台視新聞台,https://mirror.ghproxy.com/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8  
